"","Year","Region","Export_Total"
"476",1992,"Asia",NA
"477",1992,"Africa",NA
"478",1992,"Pacific",NA
"479",1992,"Middle East",NA
"480",1992,"World",NA
"481",1993,"Asia",NA
"482",1993,"Africa",NA
"483",1993,"Pacific",NA
"484",1993,"Middle East",NA
"485",1993,"World",NA
"486",1994,"Asia",NA
"487",1994,"Africa",NA
"488",1994,"Pacific",NA
"489",1994,"Middle East",NA
"490",1994,"World",NA
"491",1995,"Asia",NA
"492",1995,"Africa",NA
"493",1995,"Pacific",NA
"494",1995,"Middle East",NA
"495",1995,"World",NA
"496",1996,"Asia",NA
"497",1996,"Africa",NA
"498",1996,"Pacific",NA
"499",1996,"Middle East",NA
"500",1996,"World",NA
"501",1997,"Asia",NA
"502",1997,"Africa",NA
"503",1997,"Pacific",NA
"504",1997,"Middle East",NA
"505",1997,"World",NA
"506",1998,"Asia",NA
"507",1998,"Africa",NA
"508",1998,"Pacific",NA
"509",1998,"Middle East",NA
"510",1998,"World",NA
"511",1999,"Asia",NA
"512",1999,"Africa",NA
"513",1999,"Pacific",NA
"514",1999,"Middle East",NA
"515",1999,"World",NA
"516",2000,"Asia",NA
"517",2000,"Africa",NA
"518",2000,"Pacific",NA
"519",2000,"Middle East",NA
"520",2000,"World",NA
"521",2001,"Asia",NA
"522",2001,"Africa",NA
"523",2001,"Pacific",NA
"524",2001,"Middle East",NA
"525",2001,"World",NA
"526",2002,"Asia",NA
"527",2002,"Africa",NA
"528",2002,"Pacific",NA
"529",2002,"Middle East",NA
"530",2002,"World",NA
"531",2003,"Asia",NA
"532",2003,"Africa",NA
"533",2003,"Pacific",NA
"534",2003,"Middle East",NA
"535",2003,"World",NA
"536",2004,"Asia",NA
"537",2004,"Africa",NA
"538",2004,"Pacific",NA
"539",2004,"Middle East",NA
"540",2004,"World",NA
"541",2005,"Asia",NA
"542",2005,"Africa",NA
"543",2005,"Pacific",NA
"544",2005,"Middle East",NA
"545",2005,"World",NA
"546",2006,"Asia",NA
"547",2006,"Africa",NA
"548",2006,"Pacific",NA
"549",2006,"Middle East",NA
"550",2006,"World",NA
"551",2007,"Asia",NA
"552",2007,"Africa",NA
"553",2007,"Pacific",NA
"554",2007,"Middle East",NA
"555",2007,"World",NA
"556",2008,"Asia",NA
"557",2008,"Africa",NA
"558",2008,"Pacific",NA
"559",2008,"Middle East",NA
"560",2008,"World",NA
"561",2009,"Asia",NA
"562",2009,"Africa",NA
"563",2009,"Pacific",NA
"564",2009,"Middle East",NA
"565",2009,"World",NA
"566",2010,"Asia",NA
"567",2010,"Africa",NA
"568",2010,"Pacific",NA
"569",2010,"Middle East",NA
"570",2010,"World",NA
"571",2011,"Asia",NA
"572",2011,"Africa",NA
"573",2011,"Pacific",NA
"574",2011,"Middle East",NA
"575",2011,"World",NA
"576",2012,"Asia",NA
"577",2012,"Africa",NA
"578",2012,"Pacific",NA
"579",2012,"Middle East",NA
"580",2012,"World",NA
"581",2013,"Asia",NA
"582",2013,"Africa",NA
"583",2013,"Pacific",NA
"584",2013,"Middle East",NA
"585",2013,"World",NA
"586",2014,"Asia",NA
"587",2014,"Africa",NA
"588",2014,"Pacific",NA
"589",2014,"Middle East",NA
"590",2014,"World",NA
"591",2015,"Asia",NA
"592",2015,"Africa",NA
"593",2015,"Pacific",NA
"594",2015,"Middle East",NA
"595",2015,"World",NA
"596",2016,"Asia",NA
"597",2016,"Africa",NA
"598",2016,"Pacific",NA
"599",2016,"Middle East",NA
"600",2016,"World",NA
"601",2017,"Asia",NA
"602",2017,"Africa",NA
"603",2017,"Pacific",NA
"604",2017,"Middle East",NA
"605",2017,"World",NA
"606",2018,"Asia",NA
"607",2018,"Africa",NA
"608",2018,"Pacific",NA
"609",2018,"Middle East",NA
"610",2018,"World",NA
"611",2019,"Asia",NA
"612",2019,"Africa",NA
"613",2019,"Pacific",NA
"614",2019,"Middle East",NA
"615",2019,"World",NA
"616",2020,"Asia",NA
"617",2020,"Africa",NA
"618",2020,"Pacific",NA
"619",2020,"Middle East",NA
